Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Panier,shipping_delay,profit_margin,delivery_time
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,44d366a4aa956a5e75fe58ee0acc42b40c8f0675d5ec4f4d0661a0248584fe3e,Consumer,United States,West Jordan,West Jordan,84084.0,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2.0,0.0,9.99,Fellowes Super Stor/Drawer,2 days,0.18,2.0
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,6de5fad21e8166544fe63cbf7ec612201109e42dc915892a25ccebf7dc9d84bd,Consumer,United States,San Francisco,San Francisco,94109.0,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2.0,0.0,2.4824,Newell 341,5 days,0.29,5.0
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,6de5fad21e8166544fe63cbf7ec612201109e42dc915892a25ccebf7dc9d84bd,Consumer,United States,San Francisco,San Francisco,94109.0,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3.0,0.2,16.011,Cisco SPA 501G IP Phone,5 days,0.075,5.0
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,6de5fad21e8166544fe63cbf7ec612201109e42dc915892a25ccebf7dc9d84bd,Consumer,United States,San Francisco,San Francisco,94109.0,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4.0,0.2,7.384,"Wilson Jones Hanging View Binder, White, 1""",5 days,0.325,5.0
22,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,99b02196121eac94a9ad8bc00d85ea4e80ca638b1a7325d5550190b63ca89376,Corporate,United States,Fremont,Fremont,68025.0,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7.0,0.0,5.0596,Newell 318,4 days,0.25999999999999995,4.0
23,CA-2016-137330,2016-12-09,2016-12-13,Standard Class,99b02196121eac94a9ad8bc00d85ea4e80ca638b1a7325d5550190b63ca89376,Corporate,United States,Fremont,Fremont,68025.0,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7.0,0.0,15.6884,"Acco Six-Outlet Power Strip, 4' Cord Length",4 days,0.25999999999999995,4.0
24,US-2017-156909,2017-07-16,2017-07-18,Second Class,efa8577bd6b338e9a55db90c35b056ca8f4a045ba8bac9e24930d8a55a9907e9,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2.0,0.3,-1.0196,"Global Deluxe Stacking Chair, Gray",2 days,-0.014285714285714287,2.0
25,CA-2015-106320,2015-09-25,2015-09-30,Standard Class,fce7212c6ff39469b1be038fbaa449e1dcbc08e79c640ac8ccc469d3bb08ae1f,Consumer,United States,Orem,Orem,84057.0,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,40.74,3.0,0.0,7.2576,Bretford CR4500 Series Slim Rectangular Table,5 days,0.1781443298969072,5.0
26,CA-2016-121755,2016-01-16,2016-01-20,Second Class,f5d2400f40752f57a52c54aa4928b8fd6035aaafd94a930a1a4dd4b57d145966,Consumer,United States,Los Angeles,Los Angeles,90049.0,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2.0,0.2,4.2224,Wilson Jones Active Use Binders,4 days,0.36250000000000004,4.0
27,CA-2016-121755,2016-01-16,2016-01-20,Second Class,f5d2400f40752f57a52c54aa4928b8fd6035aaafd94a930a1a4dd4b57d145966,Consumer,United States,Los Angeles,Los Angeles,90049.0,West,TEC-AC-10003027,Technology,Accessories,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,90.57,3.0,0.0,11.7741,ImationÂ 8GB Mini TravelDrive USB 2.0Â Flash Drive,4 days,0.13,4.0
28,US-2015-150630,2015-09-17,2015-09-21,Standard Class,ed8c12f9b29b76fb3123683e4a3cee69ef886485fbf26d614f55c04b7865258b,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",40.74,7.0,0.5,7.2576,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",4 days,0.1781443298969072,4.0
29,US-2015-150630,2015-09-17,2015-09-21,Standard Class,ed8c12f9b29b76fb3123683e4a3cee69ef886485fbf26d614f55c04b7865258b,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2.0,0.0,-7.0532,Avery Recycled Flexi-View Covers for Binding Systems,4 days,-0.7333333333333334,4.0
30,US-2015-150630,2015-09-17,2015-09-21,Standard Class,c72b076609bc79332e52e2362b43733fe82d8900be909c670c720c11bd4efe80,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3.0,0.2,15.525,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",4 days,0.125,4.0
31,US-2015-150630,2015-09-17,2015-09-21,Standard Class,ed8c12f9b29b76fb3123683e4a3cee69ef886485fbf26d614f55c04b7865258b,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,2.0,0.2,1.1016,Poly String Tie Envelopes,4 days,0.3375,4.0
32,US-2015-150630,2015-09-17,2015-09-21,Standard Class,c72b076609bc79332e52e2362b43733fe82d8900be909c670c720c11bd4efe80,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6.0,0.2,9.7092,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",4 days,0.11249999999999999,4.0
33,US-2015-150630,2015-09-17,2015-09-21,Standard Class,ed8c12f9b29b76fb3123683e4a3cee69ef886485fbf26d614f55c04b7865258b,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6.0,0.0,-5.715,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",4 days,-0.8333333333333334,4.0
34,US-2015-150630,2015-09-17,2015-09-21,Standard Class,c72b076609bc79332e52e2362b43733fe82d8900be909c670c720c11bd4efe80,Consumer,United States,Philadelphia,Philadelphia,19140.0,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,2.0,0.2,3.546,Lumber Crayons,4 days,0.22499999999999998,4.0
35,CA-2017-107727,2017-10-19,2017-10-23,Second Class,9bd0c80e01a8325658a3576b3996234c90b3e5d9622d30d830efe63094255bfa,Home Office,United States,Houston,Houston,77095.0,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,3.0,0.2,9.9468,Easy-staple paper,4 days,0.33749999999999997,4.0
36,CA-2016-117590,2016-12-08,2016-12-10,First Class,c72b076609bc79332e52e2362b43733fe82d8900be909c670c720c11bd4efe80,Corporate,United States,Richardson,Richardson,75080.0,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,40.74,7.0,0.2,7.2576,GE 30524EE4,2 days,0.1781443298969072,2.0
37,CA-2016-117590,2016-12-08,2016-12-10,First Class,ae49bc6ea2962fd1b721b3eb1b898e1f3f000479fb0ffceb1068956ed27093ad,Corporate,United States,Richardson,Richardson,75080.0,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5.0,0.0,7.2576,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",2 days,0.038013827781269646,2.0
38,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,434f2abd99425cf80e570844f17a237d4417be28811006dde9f4e1eb2efffe45,Home Office,United States,Houston,Houston,77041.0,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9.0,0.2,35.415,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",4 days,0.3125,4.0
39,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,434f2abd99425cf80e570844f17a237d4417be28811006dde9f4e1eb2efffe45,Home Office,United States,Houston,Houston,77041.0,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",40.74,3.0,0.32,7.2576,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",4 days,0.1781443298969072,4.0
40,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,c72b076609bc79332e52e2362b43733fe82d8900be909c670c720c11bd4efe80,Home Office,United States,Houston,Houston,77041.0,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3.0,0.3,-15.147,"Global Fabric Manager's Chair, Dark Gray",4 days,-0.07142857142857144,4.0
41,CA-2015-117415,2015-12-27,2015-12-31,Standard Class,434f2abd99425cf80e570844f17a237d4417be28811006dde9f4e1eb2efffe45,Home Office,United States,Houston,Houston,77041.0,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4.0,0.2,41.7564,Plantronics HL10 Handset Lifter,4 days,0.1125,4.0
42,CA-2017-120999,2017-09-10,2017-09-15,Standard Class,efae66e4f73f907ca393bebda92f0750db7cfad2c4749a8c5fc1d06b7e5cec0a,Corporate,United States,Naperville,Naperville,60540.0,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4.0,0.2,16.5564,Panasonic Kx-TS550,5 days,0.11249999999999999,5.0
43,CA-2016-101343,2016-07-17,2016-07-22,Standard Class,82d0e643aaf91bfd1f77cb2e0c6b3a784c3e1bab094cbfbeecf52cbd6493f09c,Corporate,United States,Los Angeles,Los Angeles,90049.0,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2.0,0.0,3.894,"Eldon Base for stackable storage shelf, platinum",5 days,0.05,5.0
44,CA-2017-139619,2017-09-19,2017-09-23,Standard Class,730c3bf3497e2868ddca9571ab596d7d7c05c87abbc8524d9e460ff7c30aadf5,Corporate,United States,Melbourne,Melbourne,32935.0,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2.0,0.2,9.5616,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",4 days,0.1,4.0
45,CA-2016-118255,2016-03-11,2016-03-13,First Class,4938d0fbca6708075d1e3537258322e5294394c3aadd2d3dd928446ba3e4d043,Corporate,United States,Eagan,Eagan,55122.0,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2.0,0.0,19.7714,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",2 days,0.43000000000000005,2.0
46,CA-2016-118255,2016-03-11,2016-03-13,First Class,4938d0fbca6708075d1e3537258322e5294394c3aadd2d3dd928446ba3e4d043,Corporate,United States,Eagan,Eagan,55122.0,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2.0,0.0,8.2062,Wilson Jones Leather-Like Binders with DublLock Round Rings,2 days,0.47000000000000003,2.0
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,959d8cbbd51734e7a3c6edca145731247f797971ffc5e916131fc4814a062941,Consumer,United States,Westland,Westland,48185.0,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4.0,0.0,8.4784,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",5 days,0.04,5.0
48,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,cc718f326faad08360ecd3e8a4b6f2e6c5d9c2d487e1d49198230eac8ef1144d,Consumer,United States,Dover,Dover,19901.0.0,East,TEC-AC-10002167,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,45.0,3.0,0.0,4.95,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,5 days,0.11,5.0
49,CA-2016-169194,2016-06-20,2016-06-25,Standard Class,cc718f326faad08360ecd3e8a4b6f2e6c5d9c2d487e1d49198230eac8ef1144d,Consumer,United States,Dover,Dover,19901.0,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2.0,0.0,6.104,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",5 days,0.27999999999999997,5.0
50,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,511f7ae01a62b4af63b29164ca2cf96f0998ddf32702f41fee7ba641a76897dd,Consumer,United States,New Albany,New Albany,47150.0,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6.0,0.0,17.9634,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",4 days,0.47000000000000003,4.0
51,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,511f7ae01a62b4af63b29164ca2cf96f0998ddf32702f41fee7ba641a76897dd,Consumer,United States,New Albany,New Albany,47150.0,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6.0,0.0,35.3346,Avery 485,4 days,0.47,4.0
52,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,511f7ae01a62b4af63b29164ca2cf96f0998ddf32702f41fee7ba641a76897dd,Consumer,United States,New Albany,New Albany,47150.0,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,2.0,0.0,2.9568,Longer-Life Soft White Bulbs,4 days,0.48,4.0
53,CA-2015-115742,2015-04-18,2015-04-22,Standard Class,511f7ae01a62b4af63b29164ca2cf96f0998ddf32702f41fee7ba641a76897dd,Consumer,United States,New Albany,New Albany,47150.0,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,1.0,0.0,17.0981,"Global Leather Task Chair, Black",4 days,0.19,4.0
54,CA-2016-105816,2016-12-11,2016-12-17,Standard Class,ef0e05835305378c8f96d2f40508fc0ba13fe95cbc698d11171b63c9edbaea88,Corporate,United States,New York City,New York City,10035.0,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,7.0,0.0,6.2566,Advantus Push Pins,6 days,0.41,6.0
55,CA-2016-105816,2016-12-11,,Standard Class,ef0e05835305378c8f96d2f40508fc0ba13fe95cbc698d11171b63c9edbaea88,Corporate,United States,New York City,New York City,10024.0,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,40.74,5.0,0.0,7.2576,AT&T CL83451 4-Handset Telephone,,0.1781443298969072,
56,CA-2016-111682,2016-06-17,2016-06-18,First Class,2112e9c1e00bb7721175e6a99182d433bd560390356d2c70c790831e4e1a4032,Consumer,United States,Troy,Troy,12180.0,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6.0,0.0,52.14,Home/Office Personal File Carts,1 days,0.25,1.0
57,CA-2016-111682,2016-06-17,2016-06-18,First Class,2112e9c1e00bb7721175e6a99182d433bd560390356d2c70c790831e4e1a4032,Consumer,United States,Troy,Troy,12180.0,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,5.0,0.0,15.552,Xerox 232,1 days,0.48,1.0
58,CA-2016-111682,2016-06-17,2016-06-18,First Class,2112e9c1e00bb7721175e6a99182d433bd560390356d2c70c790831e4e1a4032,Consumer,United States,Troy,Troy,12180.0,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5.0,0.1,7.098,Novimex Turbo Task Chair,1 days,0.02222222222222222,1.0
59,CA-2016-111682,2016-06-17,2016-06-18,First Class,2112e9c1e00bb7721175e6a99182d433bd560390356d2c70c790831e4e1a4032,Consumer,United States,Troy,Troy,12180.0,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2.0,0.0,6.9888,"Array Parchment Paper, Assorted Colors",1 days,0.48,1.0
60,CA-2016-111682,2016-06-17,2016-06-18,First Class,2112e9c1e00bb7721175e6a99182d433bd560390356d2c70c790831e4e1a4032,Consumer,United States,Troy,Troy,12180.0,East,TEC-AC-10002167,Technology,Accessories,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,30.0,2.0,0.0,3.3,ImationÂ 8gb Micro Traveldrive Usb 2.0Â Flash Drive,1 days,0.11,1.0
61,CA-2016-111682,2016-06-17,2016-06-18,First Class,2112e9c1e00bb7721175e6a99182d433bd560390356d2c70c790831e4e1a4032,Consumer,United States,Troy,Troy,12180.0,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4.0,0.2,16.362,Plastic Binding Combs,1 days,0.33749999999999997,1.0
62,CA-2016-111682,2016-06-17,2016-06-18,First Class,2112e9c1e00bb7721175e6a99182d433bd560390356d2c70c790831e4e1a4032,Consumer,United States,Troy,Troy,12180.0,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1.0,0.0,0.84,Prang Dustless Chalk Sticks,1 days,0.5,1.0
63,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,68b45aa0ab7410976d03a677ed44876f87d57839dc7825403cc94fd855167b8b,Consumer,United States,Los Angeles,Los Angeles,90004.0,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2.0,0.0,6.1512,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",6 days,0.44,6.0
64,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,68b45aa0ab7410976d03a677ed44876f87d57839dc7825403cc94fd855167b8b,Consumer,United States,Los Angeles,Los Angeles,90004.0,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6.0,0.2,9.3612,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",6 days,0.3625,6.0
65,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,68b45aa0ab7410976d03a677ed44876f87d57839dc7825403cc94fd855167b8b,Consumer,United States,Los Angeles,Los Angeles,90004.0,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,3.0,0.0,68.9631,Xerox 1943,6 days,0.47000000000000003,6.0
66,CA-2015-135545,2015-11-24,2015-11-30,Standard Class,68b45aa0ab7410976d03a677ed44876f87d57839dc7825403cc94fd855167b8b,Consumer,United States,Los Angeles,Los Angeles,90004.0,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,4.0,0.0,22.3328,Luxo Economy Swing Arm Lamp,6 days,0.27999999999999997,6.0
67,US-2015-164175,2015-04-30,2015-05-05,Standard Class,53ad86a7da4d1c911d40ea77f279d52630078a61f989457d94fba8f86812cd74,Home Office,United States,Chicago,Chicago,60610.0,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5.0,0.3,-15.2225,"Global Value Mid-Back Manager's Chair, Gray",5 days,-0.07142857142857142,5.0
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,7244e82fbb5c13992488e3bae0f92e332506874c69731203c81916dc9057fb0d,Corporate,United States,Gilbert,Gilbert,85234.0,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",40.74,8.0,0.2,7.2576,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",5 days,0.1781443298969072,5.0
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,7244e82fbb5c13992488e3bae0f92e332506874c69731203c81916dc9057fb0d,Corporate,United States,Gilbert,Gilbert,85234.0,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,4.0,0.2,62.988,netTALK DUO VoIP Telephone Service,5 days,0.375,5.0
